"","interval","steps","date"
"1",0,1.71698113207547,2012-10-01
"2",0,0,2012-10-02
"3",0,0,2012-10-03
"4",0,47,2012-10-04
"5",0,0,2012-10-05
"6",0,0,2012-10-06
"7",0,0,2012-10-07
"8",0,1.71698113207547,2012-10-08
"9",0,0,2012-10-09
"10",0,34,2012-10-10
"11",0,0,2012-10-11
"12",0,0,2012-10-12
"13",0,0,2012-10-13
"14",0,0,2012-10-14
"15",0,0,2012-10-15
"16",0,0,2012-10-16
"17",0,0,2012-10-17
"18",0,0,2012-10-18
"19",0,0,2012-10-19
"20",0,0,2012-10-20
"21",0,0,2012-10-21
"22",0,10,2012-10-22
"23",0,0,2012-10-23
"24",0,0,2012-10-24
"25",0,0,2012-10-25
"26",0,0,2012-10-26
"27",0,0,2012-10-27
"28",0,0,2012-10-28
"29",0,0,2012-10-29
"30",0,0,2012-10-30
"31",0,0,2012-10-31
"32",0,1.71698113207547,2012-11-01
"33",0,0,2012-11-02
"34",0,0,2012-11-03
"35",0,1.71698113207547,2012-11-04
"36",0,0,2012-11-05
"37",0,0,2012-11-06
"38",0,0,2012-11-07
"39",0,0,2012-11-08
"40",0,1.71698113207547,2012-11-09
"41",0,1.71698113207547,2012-11-10
"42",0,0,2012-11-11
"43",0,0,2012-11-12
"44",0,0,2012-11-13
"45",0,1.71698113207547,2012-11-14
"46",0,0,2012-11-15
"47",0,0,2012-11-16
"48",0,0,2012-11-17
"49",0,0,2012-11-18
"50",0,0,2012-11-19
"51",0,0,2012-11-20
"52",0,0,2012-11-21
"53",0,0,2012-11-22
"54",0,0,2012-11-23
"55",0,0,2012-11-24
"56",0,0,2012-11-25
"57",0,0,2012-11-26
"58",0,0,2012-11-27
"59",0,0,2012-11-28
"60",0,0,2012-11-29
"61",0,1.71698113207547,2012-11-30
"62",5,0.339622641509434,2012-10-01
"63",5,0,2012-10-02
"64",5,0,2012-10-03
"65",5,0,2012-10-04
"66",5,0,2012-10-05
"67",5,0,2012-10-06
"68",5,0,2012-10-07
"69",5,0.339622641509434,2012-10-08
"70",5,0,2012-10-09
"71",5,18,2012-10-10
"72",5,0,2012-10-11
"73",5,0,2012-10-12
"74",5,0,2012-10-13
"75",5,0,2012-10-14
"76",5,0,2012-10-15
"77",5,0,2012-10-16
"78",5,0,2012-10-17
"79",5,0,2012-10-18
"80",5,0,2012-10-19
"81",5,0,2012-10-20
"82",5,0,2012-10-21
"83",5,0,2012-10-22
"84",5,0,2012-10-23
"85",5,0,2012-10-24
"86",5,0,2012-10-25
"87",5,0,2012-10-26
"88",5,0,2012-10-27
"89",5,0,2012-10-28
"90",5,0,2012-10-29
"91",5,0,2012-10-30
"92",5,0,2012-10-31
"93",5,0.339622641509434,2012-11-01
"94",5,0,2012-11-02
"95",5,0,2012-11-03
"96",5,0.339622641509434,2012-11-04
"97",5,0,2012-11-05
"98",5,0,2012-11-06
"99",5,0,2012-11-07
"100",5,0,2012-11-08
"101",5,0.339622641509434,2012-11-09
"102",5,0.339622641509434,2012-11-10
"103",5,0,2012-11-11
"104",5,0,2012-11-12
"105",5,0,2012-11-13
"106",5,0.339622641509434,2012-11-14
"107",5,0,2012-11-15
"108",5,0,2012-11-16
"109",5,0,2012-11-17
"110",5,0,2012-11-18
"111",5,0,2012-11-19
"112",5,0,2012-11-20
"113",5,0,2012-11-21
"114",5,0,2012-11-22
"115",5,0,2012-11-23
"116",5,0,2012-11-24
"117",5,0,2012-11-25
"118",5,0,2012-11-26
"119",5,0,2012-11-27
"120",5,0,2012-11-28
"121",5,0,2012-11-29
"122",5,0.339622641509434,2012-11-30
"123",10,0.132075471698113,2012-10-01
"124",10,0,2012-10-02
"125",10,0,2012-10-03
"126",10,0,2012-10-04
"127",10,0,2012-10-05
"128",10,0,2012-10-06
"129",10,0,2012-10-07
"130",10,0.132075471698113,2012-10-08
"131",10,0,2012-10-09
"132",10,7,2012-10-10
"133",10,0,2012-10-11
"134",10,0,2012-10-12
"135",10,0,2012-10-13
"136",10,0,2012-10-14
"137",10,0,2012-10-15
"138",10,0,2012-10-16
"139",10,0,2012-10-17
"140",10,0,2012-10-18
"141",10,0,2012-10-19
"142",10,0,2012-10-20
"143",10,0,2012-10-21
"144",10,0,2012-10-22
"145",10,0,2012-10-23
"146",10,0,2012-10-24
"147",10,0,2012-10-25
"148",10,0,2012-10-26
"149",10,0,2012-10-27
"150",10,0,2012-10-28
"151",10,0,2012-10-29
"152",10,0,2012-10-30
"153",10,0,2012-10-31
"154",10,0.132075471698113,2012-11-01
"155",10,0,2012-11-02
"156",10,0,2012-11-03
"157",10,0.132075471698113,2012-11-04
"158",10,0,2012-11-05
"159",10,0,2012-11-06
"160",10,0,2012-11-07
"161",10,0,2012-11-08
"162",10,0.132075471698113,2012-11-09
"163",10,0.132075471698113,2012-11-10
"164",10,0,2012-11-11
"165",10,0,2012-11-12
"166",10,0,2012-11-13
"167",10,0.132075471698113,2012-11-14
"168",10,0,2012-11-15
"169",10,0,2012-11-16
"170",10,0,2012-11-17
"171",10,0,2012-11-18
"172",10,0,2012-11-19
"173",10,0,2012-11-20
"174",10,0,2012-11-21
"175",10,0,2012-11-22
"176",10,0,2012-11-23
"177",10,0,2012-11-24
"178",10,0,2012-11-25
"179",10,0,2012-11-26
"180",10,0,2012-11-27
"181",10,0,2012-11-28
"182",10,0,2012-11-29
"183",10,0.132075471698113,2012-11-30
"184",15,0.150943396226415,2012-10-01
"185",15,0,2012-10-02
"186",15,0,2012-10-03
"187",15,0,2012-10-04
"188",15,0,2012-10-05
"189",15,0,2012-10-06
"190",15,0,2012-10-07
"191",15,0.150943396226415,2012-10-08
"192",15,0,2012-10-09
"193",15,0,2012-10-10
"194",15,8,2012-10-11
"195",15,0,2012-10-12
"196",15,0,2012-10-13
"197",15,0,2012-10-14
"198",15,0,2012-10-15
"199",15,0,2012-10-16
"200",15,0,2012-10-17
"201",15,0,2012-10-18
"202",15,0,2012-10-19
"203",15,0,2012-10-20
"204",15,0,2012-10-21
"205",15,0,2012-10-22
"206",15,0,2012-10-23
"207",15,0,2012-10-24
"208",15,0,2012-10-25
"209",15,0,2012-10-26
"210",15,0,2012-10-27
"211",15,0,2012-10-28
"212",15,0,2012-10-29
"213",15,0,2012-10-30
"214",15,0,2012-10-31
"215",15,0.150943396226415,2012-11-01
"216",15,0,2012-11-02
"217",15,0,2012-11-03
"218",15,0.150943396226415,2012-11-04
"219",15,0,2012-11-05
"220",15,0,2012-11-06
"221",15,0,2012-11-07
"222",15,0,2012-11-08
"223",15,0.150943396226415,2012-11-09
"224",15,0.150943396226415,2012-11-10
"225",15,0,2012-11-11
"226",15,0,2012-11-12
"227",15,0,2012-11-13
"228",15,0.150943396226415,2012-11-14
"229",15,0,2012-11-15
"230",15,0,2012-11-16
"231",15,0,2012-11-17
"232",15,0,2012-11-18
"233",15,0,2012-11-19
"234",15,0,2012-11-20
"235",15,0,2012-11-21
"236",15,0,2012-11-22
"237",15,0,2012-11-23
"238",15,0,2012-11-24
"239",15,0,2012-11-25
"240",15,0,2012-11-26
"241",15,0,2012-11-27
"242",15,0,2012-11-28
"243",15,0,2012-11-29
"244",15,0.150943396226415,2012-11-30
"245",20,0.0754716981132075,2012-10-01
"246",20,0,2012-10-02
"247",20,0,2012-10-03
"248",20,0,2012-10-04
"249",20,0,2012-10-05
"250",20,0,2012-10-06
"251",20,0,2012-10-07
"252",20,0.0754716981132075,2012-10-08
"253",20,0,2012-10-09
"254",20,0,2012-10-10
"255",20,0,2012-10-11
"256",20,0,2012-10-12
"257",20,0,2012-10-13
"258",20,0,2012-10-14
"259",20,0,2012-10-15
"260",20,0,2012-10-16
"261",20,0,2012-10-17
"262",20,0,2012-10-18
"263",20,0,2012-10-19
"264",20,0,2012-10-20
"265",20,0,2012-10-21
"266",20,0,2012-10-22
"267",20,4,2012-10-23
"268",20,0,2012-10-24
"269",20,0,2012-10-25
"270",20,0,2012-10-26
"271",20,0,2012-10-27
"272",20,0,2012-10-28
"273",20,0,2012-10-29
"274",20,0,2012-10-30
"275",20,0,2012-10-31
"276",20,0.0754716981132075,2012-11-01
"277",20,0,2012-11-02
"278",20,0,2012-11-03
"279",20,0.0754716981132075,2012-11-04
"280",20,0,2012-11-05
"281",20,0,2012-11-06
"282",20,0,2012-11-07
"283",20,0,2012-11-08
"284",20,0.0754716981132075,2012-11-09
"285",20,0.0754716981132075,2012-11-10
"286",20,0,2012-11-11
"287",20,0,2012-11-12
"288",20,0,2012-11-13
"289",20,0.0754716981132075,2012-11-14
"290",20,0,2012-11-15
"291",20,0,2012-11-16
"292",20,0,2012-11-17
"293",20,0,2012-11-18
"294",20,0,2012-11-19
"295",20,0,2012-11-20
"296",20,0,2012-11-21
"297",20,0,2012-11-22
"298",20,0,2012-11-23
"299",20,0,2012-11-24
"300",20,0,2012-11-25
"301",20,0,2012-11-26
"302",20,0,2012-11-27
"303",20,0,2012-11-28
"304",20,0,2012-11-29
"305",20,0.0754716981132075,2012-11-30
"306",25,2.09433962264151,2012-10-01
"307",25,0,2012-10-02
"308",25,0,2012-10-03
"309",25,0,2012-10-04
"310",25,0,2012-10-05
"311",25,0,2012-10-06
"312",25,0,2012-10-07
"313",25,2.09433962264151,2012-10-08
"314",25,13,2012-10-09
"315",25,0,2012-10-10
"316",25,0,2012-10-11
"317",25,0,2012-10-12
"318",25,0,2012-10-13
"319",25,52,2012-10-14
"320",25,35,2012-10-15
"321",25,0,2012-10-16
"322",25,0,2012-10-17
"323",25,11,2012-10-18
"324",25,0,2012-10-19
"325",25,0,2012-10-20
"326",25,0,2012-10-21
"327",25,0,2012-10-22
"328",25,0,2012-10-23
"329",25,0,2012-10-24
"330",25,0,2012-10-25
"331",25,0,2012-10-26
"332",25,0,2012-10-27
"333",25,0,2012-10-28
"334",25,0,2012-10-29
"335",25,0,2012-10-30
"336",25,0,2012-10-31
"337",25,2.09433962264151,2012-11-01
"338",25,0,2012-11-02
"339",25,0,2012-11-03
"340",25,2.09433962264151,2012-11-04
"341",25,0,2012-11-05
"342",25,0,2012-11-06
"343",25,0,2012-11-07
"344",25,0,2012-11-08
"345",25,2.09433962264151,2012-11-09
"346",25,2.09433962264151,2012-11-10
"347",25,0,2012-11-11
"348",25,0,2012-11-12
"349",25,0,2012-11-13
"350",25,2.09433962264151,2012-11-14
"351",25,0,2012-11-15
"352",25,0,2012-11-16
"353",25,0,2012-11-17
"354",25,0,2012-11-18
"355",25,0,2012-11-19
"356",25,0,2012-11-20
"357",25,0,2012-11-21
"358",25,0,2012-11-22
"359",25,0,2012-11-23
"360",25,0,2012-11-24
"361",25,0,2012-11-25
"362",25,0,2012-11-26
"363",25,0,2012-11-27
"364",25,0,2012-11-28
"365",25,0,2012-11-29
"366",25,2.09433962264151,2012-11-30
"367",30,0.528301886792453,2012-10-01
"368",30,0,2012-10-02
"369",30,0,2012-10-03
"370",30,0,2012-10-04
"371",30,0,2012-10-05
"372",30,0,2012-10-06
"373",30,0,2012-10-07
"374",30,0.528301886792453,2012-10-08
"375",30,28,2012-10-09
"376",30,0,2012-10-10
"377",30,0,2012-10-11
"378",30,0,2012-10-12
"379",30,0,2012-10-13
"380",30,0,2012-10-14
"381",30,0,2012-10-15
"382",30,0,2012-10-16
"383",30,0,2012-10-17
"384",30,0,2012-10-18
"385",30,0,2012-10-19
"386",30,0,2012-10-20
"387",30,0,2012-10-21
"388",30,0,2012-10-22
"389",30,0,2012-10-23
"390",30,0,2012-10-24
"391",30,0,2012-10-25
"392",30,0,2012-10-26
"393",30,0,2012-10-27
"394",30,0,2012-10-28
"395",30,0,2012-10-29
"396",30,0,2012-10-30
"397",30,0,2012-10-31
"398",30,0.528301886792453,2012-11-01
"399",30,0,2012-11-02
"400",30,0,2012-11-03
"401",30,0.528301886792453,2012-11-04
"402",30,0,2012-11-05
"403",30,0,2012-11-06
"404",30,0,2012-11-07
"405",30,0,2012-11-08
"406",30,0.528301886792453,2012-11-09
"407",30,0.528301886792453,2012-11-10
"408",30,0,2012-11-11
"409",30,0,2012-11-12
"410",30,0,2012-11-13
"411",30,0.528301886792453,2012-11-14
"412",30,0,2012-11-15
"413",30,0,2012-11-16
"414",30,0,2012-11-17
"415",30,0,2012-11-18
"416",30,0,2012-11-19
"417",30,0,2012-11-20
"418",30,0,2012-11-21
"419",30,0,2012-11-22
"420",30,0,2012-11-23
"421",30,0,2012-11-24
"422",30,0,2012-11-25
"423",30,0,2012-11-26
"424",30,0,2012-11-27
"425",30,0,2012-11-28
"426",30,0,2012-11-29
"427",30,0.528301886792453,2012-11-30
"428",35,0.867924528301887,2012-10-01
"429",35,0,2012-10-02
"430",35,0,2012-10-03
"431",35,0,2012-10-04
"432",35,0,2012-10-05
"433",35,0,2012-10-06
"434",35,0,2012-10-07
"435",35,0.867924528301887,2012-10-08
"436",35,0,2012-10-09
"437",35,0,2012-10-10
"438",35,0,2012-10-11
"439",35,0,2012-10-12
"440",35,0,2012-10-13
"441",35,0,2012-10-14
"442",35,0,2012-10-15
"443",35,0,2012-10-16
"444",35,0,2012-10-17
"445",35,0,2012-10-18
"446",35,0,2012-10-19
"447",35,0,2012-10-20
"448",35,0,2012-10-21
"449",35,0,2012-10-22
"450",35,0,2012-10-23
"451",35,0,2012-10-24
"452",35,46,2012-10-25
"453",35,0,2012-10-26
"454",35,0,2012-10-27
"455",35,0,2012-10-28
"456",35,0,2012-10-29
"457",35,0,2012-10-30
"458",35,0,2012-10-31
"459",35,0.867924528301887,2012-11-01
"460",35,0,2012-11-02
"461",35,0,2012-11-03
"462",35,0.867924528301887,2012-11-04
"463",35,0,2012-11-05
"464",35,0,2012-11-06
"465",35,0,2012-11-07
"466",35,0,2012-11-08
"467",35,0.867924528301887,2012-11-09
"468",35,0.867924528301887,2012-11-10
"469",35,0,2012-11-11
"470",35,0,2012-11-12
"471",35,0,2012-11-13
"472",35,0.867924528301887,2012-11-14
"473",35,0,2012-11-15
"474",35,0,2012-11-16
"475",35,0,2012-11-17
"476",35,0,2012-11-18
"477",35,0,2012-11-19
"478",35,0,2012-11-20
"479",35,0,2012-11-21
"480",35,0,2012-11-22
"481",35,0,2012-11-23
"482",35,0,2012-11-24
"483",35,0,2012-11-25
"484",35,0,2012-11-26
"485",35,0,2012-11-27
"486",35,0,2012-11-28
"487",35,0,2012-11-29
"488",35,0.867924528301887,2012-11-30
"489",40,0,2012-10-01
"490",40,0,2012-10-02
"491",40,0,2012-10-03
"492",40,0,2012-10-04
"493",40,0,2012-10-05
"494",40,0,2012-10-06
"495",40,0,2012-10-07
"496",40,0,2012-10-08
"497",40,0,2012-10-09
"498",40,0,2012-10-10
"499",40,0,2012-10-11
"500",40,0,2012-10-12
"501",40,0,2012-10-13
"502",40,0,2012-10-14
"503",40,0,2012-10-15
"504",40,0,2012-10-16
"505",40,0,2012-10-17
"506",40,0,2012-10-18
"507",40,0,2012-10-19
"508",40,0,2012-10-20
"509",40,0,2012-10-21
"510",40,0,2012-10-22
"511",40,0,2012-10-23
"512",40,0,2012-10-24
"513",40,0,2012-10-25
"514",40,0,2012-10-26
"515",40,0,2012-10-27
"516",40,0,2012-10-28
"517",40,0,2012-10-29
"518",40,0,2012-10-30
"519",40,0,2012-10-31
"520",40,0,2012-11-01
"521",40,0,2012-11-02
"522",40,0,2012-11-03
"523",40,0,2012-11-04
"524",40,0,2012-11-05
"525",40,0,2012-11-06
"526",40,0,2012-11-07
"527",40,0,2012-11-08
"528",40,0,2012-11-09
"529",40,0,2012-11-10
"530",40,0,2012-11-11
"531",40,0,2012-11-12
